municipality,year,inc
Egedal,1994,125499.0
Fredensborg,1994,122754.0
Frederikssund,1994,114414.0
Furesø,1994,133881.0
Gribskov,1994,116258.0
Halsnæs,1994,107621.0
Helsingør,1994,112154.0
Hillerød,1994,120487.0
Hørsholm,1994,149683.0
Rudersdal,1994,136239.0
Bornholm,1994,99348.0
Greve,1994,123032.0
Køge,1994,112801.0
Lejre,1994,122269.0
Roskilde,1994,117582.0
Solrød,1994,127616.0
Faxe,1994,106611.0
Guldborgsund,1994,100092.0
Holbæk,1994,107601.0
Kalundborg,1994,107082.0
Lolland,1994,96888.0
Næstved,1994,106325.0
Odsherred,1994,104420.0
Ringsted,1994,108173.0
Slagelse,1994,105459.0
Sorø,1994,104831.0
Stevns,1994,111867.0
Vordingborg,1994,102384.0
Assens,1994,102598.0
Faaborg-Midtfyn,1994,103547.0
Kerteminde,1994,108167.0
Langeland,1994,96196.0
Middelfart,1994,105661.0
Nordfyns,1994,102877.0
Nyborg,1994,102618.0
Odense,1994,101683.0
Svendborg,1994,102430.0
Ærø,1994,101073.0
Billund,1994,111923.0
Esbjerg,1994,107038.0
Fanø,1994,116041.0
Fredericia,1994,107085.0
Haderslev,1994,103410.0
Kolding,1994,107243.0
Sønderborg,1994,106628.0
Tønder,1994,104594.0
Varde,1994,107113.0
Vejen,1994,103383.0
Vejle,1994,107541.0
Aabenraa,1994,106857.0
Favrskov,1994,109774.0
Hedensted,1994,108417.0
Horsens,1994,105214.0
Norddjurs,1994,102788.0
Odder,1994,108187.0
Randers,1994,102619.0
Samsø,1994,96515.0
Silkeborg,1994,110616.0
Skanderborg,1994,111089.0
Syddjurs,1994,104095.0
Aarhus,1994,105902.0
Herning,1994,108321.0
Holstebro,1994,107402.0
Ikast-Brande,1994,104964.0
Lemvig,1994,103874.0
Ringkøbing-Skjern,1994,106738.0
Skive,1994,103319.0
Struer,1994,103946.0
Viborg,1994,104939.0
Brønderslev,1994,99599.0
Frederikshavn,1994,105154.0
Hjørring,1994,103595.0
Jammerbugt,1994,101568.0
Læsø,1994,98880.0
Mariagerfjord,1994,102124.0
Morsø,1994,100267.0
Rebild,1994,105508.0
Thisted,1994,101091.0
Vesthimmerlands,1994,100566.0
Aalborg,1994,103276.0
Copenhagen,1995,101758.0
Frederiksberg,1995,120801.0
Dragør,1995,137056.0
Tårnby,1995,119115.0
Albertslund,1995,112856.0
Ballerup,1995,117453.0
Brøndby,1995,110050.0
Gentofte,1995,155250.0
Gladsaxe,1995,116897.0
Glostrup,1995,116190.0
Herlev,1995,115151.0
Hvidovre,1995,111662.0
Høje-Taastrup,1995,118443.0
Ishøj,1995,111783.0
Lyngby-Taarbæk,1995,135100.0
Rødovre,1995,113229.0
Vallensbæk,1995,133356.0
Allerød,1995,138881.0
Egedal,1995,131844.0
Fredensborg,1995,129645.0
Frederikssund,1995,120521.0
Furesø,1995,141864.0
Gribskov,1995,120624.0
Halsnæs,1995,112511.0
Helsingør,1995,117483.0
Hillerød,1995,125724.0
Hørsholm,1995,165865.0
Rudersdal,1995,156140.0
Bornholm,1995,103245.0
Greve,1995,129219.0
Køge,1995,118468.0
Lejre,1995,128253.0
Roskilde,1995,124667.0
Solrød,1995,133983.0
Faxe,1995,111233.0
Guldborgsund,1995,104034.0
Holbæk,1995,111536.0
Kalundborg,1995,111553.0
Lolland,1995,99780.0
Næstved,1995,110577.0
Odsherred,1995,107405.0
Ringsted,1995,113901.0
Slagelse,1995,110078.0
Sorø,1995,110071.0
Stevns,1995,116517.0
Vordingborg,1995,105398.0
Assens,1995,107059.0
Faaborg-Midtfyn,1995,107915.0
Kerteminde,1995,112894.0
Langeland,1995,100457.0
Middelfart,1995,111008.0
Nordfyns,1995,107524.0
Nyborg,1995,107531.0
Odense,1995,106172.0
Svendborg,1995,106328.0
Ærø,1995,106059.0
Billund,1995,116595.0
Esbjerg,1995,111764.0
Fanø,1995,122728.0
Fredericia,1995,112810.0
Haderslev,1995,108227.0
Kolding,1995,112814.0
Sønderborg,1995,111865.0
Tønder,1995,109233.0
Varde,1995,112421.0
Vejen,1995,108693.0
Vejle,1995,113225.0
Aabenraa,1995,112193.0
Favrskov,1995,113757.0
Hedensted,1995,113649.0
Horsens,1995,110085.0
Norddjurs,1995,107833.0
Odder,1995,114477.0
Randers,1995,107324.0
Samsø,1995,104217.0
Silkeborg,1995,116161.0
Skanderborg,1995,117234.0
Syddjurs,1995,112004.0
Aarhus,1995,111286.0
Herning,1995,114172.0
Holstebro,1995,112064.0
Ikast-Brande,1995,109970.0
Lemvig,1995,109433.0
Ringkøbing-Skjern,1995,112773.0
Skive,1995,107595.0
Struer,1995,110258.0
Viborg,1995,109841.0
Brønderslev,1995,104067.0
Frederikshavn,1995,108510.0
Hjørring,1995,107130.0
Jammerbugt,1995,106072.0
Læsø,1995,102846.0
Mariagerfjord,1995,106471.0
Morsø,1995,103837.0
Rebild,1995,109694.0
Thisted,1995,105388.0
Vesthimmerlands,1995,104616.0
Aalborg,1995,107745.0
Copenhagen,1996,106144.0
Frederiksberg,1996,127212.0
Dragør,1996,145144.0
Tårnby,1996,123870.0
Albertslund,1996,116396.0
Ballerup,1996,121686.0
Brøndby,1996,113460.0
Gentofte,1996,166672.0
Gladsaxe,1996,121459.0
Glostrup,1996,120267.0
Herlev,1996,119272.0
Hvidovre,1996,115867.0
Høje-Taastrup,1996,122826.0
Ishøj,1996,115655.0
Lyngby-Taarbæk,1996,143138.0
Rødovre,1996,117083.0
Vallensbæk,1996,139569.0
Allerød,1996,144199.0
Egedal,1996,137443.0
Fredensborg,1996,135416.0
Frederikssund,1996,125488.0
Furesø,1996,147201.0
Gribskov,1996,124833.0
Halsnæs,1996,116586.0
Helsingør,1996,122826.0
Hillerød,1996,130078.0
Hørsholm,1996,175005.0
Rudersdal,1996,166804.0
Bornholm,1996,105346.0
Greve,1996,134895.0
Køge,1996,123261.0
Lejre,1996,133698.0
Roskilde,1996,129608.0
Solrød,1996,140708.0
Faxe,1996,115410.0
Guldborgsund,1996,107774.0
Holbæk,1996,116027.0
Kalundborg,1996,114880.0
Lolland,1996,102805.0
Næstved,1996,114362.0
Odsherred,1996,111578.0
Ringsted,1996,118005.0
Slagelse,1996,113466.0
Sorø,1996,114716.0
Stevns,1996,120507.0
Vordingborg,1996,109236.0
Assens,1996,110849.0
Faaborg-Midtfyn,1996,111518.0
Kerteminde,1996,116633.0
Langeland,1996,104059.0
Middelfart,1996,115601.0
Nordfyns,1996,110704.0
Nyborg,1996,110688.0
Odense,1996,109910.0
Svendborg,1996,110973.0
Ærø,1996,107946.0
Billund,1996,120036.0
Esbjerg,1996,115801.0
Fanø,1996,127568.0
Fredericia,1996,117020.0
Haderslev,1996,112602.0
Kolding,1996,117269.0
Sønderborg,1996,115977.0
Tønder,1996,112734.0
Varde,1996,116851.0
Vejen,1996,112148.0
Vejle,1996,117661.0
Aabenraa,1996,116622.0
Favrskov,1996,118756.0
Hedensted,1996,117846.0
Horsens,1996,113021.0
Norddjurs,1996,111563.0
Odder,1996,118816.0
Randers,1996,111908.0
Samsø,1996,107634.0
Silkeborg,1996,123309.0
Skanderborg,1996,122430.0
Syddjurs,1996,116489.0
Aarhus,1996,115348.0
Herning,1996,117492.0
Holstebro,1996,116313.0
Ikast-Brande,1996,113588.0
Lemvig,1996,113335.0
Ringkøbing-Skjern,1996,115759.0
Skive,1996,112863.0
Struer,1996,115166.0
Viborg,1996,113670.0
Brønderslev,1996,108457.0
Frederikshavn,1996,112610.0
Hjørring,1996,111521.0
Jammerbugt,1996,110633.0
Læsø,1996,108234.0
Mariagerfjord,1996,110469.0
Morsø,1996,108570.0
Rebild,1996,113250.0
Thisted,1996,109062.0
Vesthimmerlands,1996,107918.0
Aalborg,1996,111852.0
Copenhagen,1997,109450.0
Frederiksberg,1997,131103.0
Dragør,1997,150963.0
Tårnby,1997,127729.0
